symptoms,label
"joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",home-care
"joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",home-care
"joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",home-care
"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",home-care
"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",home-care
"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain",home-care
"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, lethargy, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, lethargy, yellowish_skin, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, lethargy, yellowish_skin, dark_urine, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",home-care
"fatigue, yellowish_skin, nausea, loss_of_appetite, family_history",home-care
"fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history",home-care
"yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history",home-care
"fatigue, nausea, loss_of_appetite, yellowing_of_eyes, family_history",home-care
"fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes, family_history",home-care
"fatigue, yellowish_skin, nausea, yellowing_of_eyes, family_history",home-care
"fatigue, yellowish_skin, nausea, loss_of_appetite, family_history",home-care
"fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes",home-care
"fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history",home-care
"fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain",home-care
"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding",home-care
"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",home-care
"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload",home-care
"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload",home-care
"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption",home-care
"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",home-care
"chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",emergency
"continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",home-care
"chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum",emergency
"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"constipation, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus",home-care
"constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus",home-care
"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool",home-care
"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",home-care
"vomiting, breathlessness, sweating, chest_pain",emergency
"vomiting, breathlessness, sweating, chest_pain",emergency
"breathlessness, sweating, chest_pain",emergency
"vomiting, sweating, chest_pain",emergency
"vomiting, breathlessness, chest_pain",emergency
"vomiting, breathlessness, sweating",emergency
"vomiting, breathlessness, sweating, chest_pain",emergency
"breathlessness, sweating, chest_pain",emergency
"vomiting, sweating, chest_pain",emergency
"vomiting, breathlessness, chest_pain",emergency
"fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",home-care
"fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",home-care
"cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",home-care
"fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",home-care
"fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",home-care
"fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",home-care
"fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf",home-care
"fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf",home-care
"fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels",home-care
"fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf",home-care
"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, weight_gain, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, weight_gain, cold_hands_and_feets, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, weight_gain, cold_hands_and_feets, mood_swings, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",home-care
"fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation",home-care
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",home-care
"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"joint_pain, neck_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking",home-care
"joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking",home-care
"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints",home-care
"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",home-care
"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking",home-care
"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking",home-care
"stiff_neck, swelling_joints, movement_stiffness, painful_walking",home-care
"muscle_weakness, swelling_joints, movement_stiffness, painful_walking",home-care
"muscle_weakness, stiff_neck, movement_stiffness, painful_walking",home-care
"muscle_weakness, stiff_neck, swelling_joints, painful_walking",home-care
"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking",home-care
"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness",home-care
"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking",home-care
"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking",home-care
"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness",home-care
"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness",home-care
"headache, nausea, spinning_movements, loss_of_balance, unsteadiness",home-care
"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness",home-care
"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness",home-care
"vomiting, headache, nausea, loss_of_balance, unsteadiness",home-care
"vomiting, headache, nausea, spinning_movements, unsteadiness",home-care
"vomiting, headache, nausea, spinning_movements, loss_of_balance",home-care
"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness",home-care
"vomiting, headache, nausea, loss_of_balance, unsteadiness",home-care
"skin_rash, pus_filled_pimples, blackheads, scurring",home-care
"skin_rash, pus_filled_pimples, blackheads, scurring",home-care
"pus_filled_pimples, blackheads, scurring",home-care
"skin_rash, blackheads, scurring",home-care
"skin_rash, pus_filled_pimples, scurring",home-care
"skin_rash, pus_filled_pimples, blackheads",home-care
"skin_rash, pus_filled_pimples, blackheads, scurring",home-care
"skin_rash, pus_filled_pimples, blackheads",home-care
"skin_rash, pus_filled_pimples, scurring",home-care
"skin_rash, blackheads, scurring",home-care
"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",home-care
"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",home-care
"bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",home-care
"burning_micturition, foul_smell_of urine, continuous_feel_of_urine",home-care
"burning_micturition, bladder_discomfort, continuous_feel_of_urine",home-care
"burning_micturition, bladder_discomfort, foul_smell_of urine",home-care
"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",home-care
"burning_micturition, bladder_discomfort, continuous_feel_of_urine",home-care
"bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",home-care
"burning_micturition, bladder_discomfort, continuous_feel_of_urine",home-care
"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails",home-care
"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails",home-care
"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",home-care
"skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"high_fever, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"skin_rash, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"skin_rash, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze",home-care
"skin_rash, high_fever, blister, yellow_crust_ooze",home-care
"skin_rash, high_fever, blister, red_sore_around_nose",home-care
"skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"skin_rash, blister, red_sore_around_nose, yellow_crust_ooze",home-care
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"itching, nodal_skin_eruptions, dischromic _patches",home-care
"itching, skin_rash, dischromic _patches",home-care
"itching, skin_rash, nodal_skin_eruptions",home-care
"skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"itching, nodal_skin_eruptions, dischromic _patches",home-care
"itching, skin_rash, dischromic _patches",home-care
"itching, skin_rash, nodal_skin_eruptions",home-care
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"continuous_sneezing, shivering, chills, watering_from_eyes",home-care
"shivering, chills, watering_from_eyes",home-care
"continuous_sneezing, chills, watering_from_eyes",home-care
"continuous_sneezing, shivering, watering_from_eyes",home-care
"continuous_sneezing, shivering, chills",home-care
"shivering, chills, watering_from_eyes",home-care
"continuous_sneezing, chills, watering_from_eyes",home-care
"continuous_sneezing, shivering, watering_from_eyes",home-care
"continuous_sneezing, shivering, chills",home-care
"continuous_sneezing, shivering, chills, watering_from_eyes",home-care
"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough",home-care
"acidity, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination",home-care
